,customer_id,buyer_business_type,district_id,district_name_ar,city_name_en,area_name_ar,geo_latitude,geo_longitude,registration_date,avg_ticket_size,number_of_transactions,number_of_cancelled_transactions,last_order_date,total_orders_amount,buyer_business_type_encoded,cluster,promo
0,47,كشك,100123.0,الهرم,Giza,الهرم,29.99344,31.15219,2020-07-06,523.7866666666666,3.0,3.0,2020-11-12,1571.36,1,1,+5000 spendings (10% off)
1,634,كشك,100140.0,مصر القديمة,Cairo,مصر القديمة,,,2020-01-20,2665.5516666666667,6.0,4.0,2020-08-07,15993.31,5,3,+15000 spendings (18% off)
2,841,كشك,100128.0,المعادي,Cairo,,,,2020-01-23,1459.3749999999998,6.0,2.0,2020-12-15,8756.249999999998,1,1,+5000 spendings (10% off)
4,986,كشك,100125.0,حلوان,Cairo,المعصرة,29.84495,31.33025,2020-01-27,5618.27,1.0,1.0,2020-06-14,5618.27,1,1,+5000 spendings (10% off)
6,1068,كشك,100125.0,حلوان,Cairo,حدايق حلوان,,,2020-01-21,1989.7833333333333,18.0,11.0,2021-03-01,35816.1,1,3,+15000 spendings (18% off)
8,1492,كشك,100206.0,المريوطيه - فيصل,Giza,المريوطيه - فيصل,,,2020-01-28,5664.99,5.0,1.0,2021-03-06,28324.95,1,3,+15000 spendings (18% off)
12,2183,كشك,100128.0,المعادي,Cairo,حدائق المعادي,,,2020-02-02,819.28,1.0,0.0,2020-11-03,819.28,1,1,+5000 spendings (10% off)
14,2454,سوبر ماركت,100202.0,جسر السويس,Cairo,جسر السويس,30.13423,31.36224,2020-02-04,3183.55,1.0,1.0,2020-04-08,3183.55,2,1,+5000 spendings (10% off)
15,2566,كشك,100134.0,مدينه نصر,Cairo,مدينه نصر,,,2020-02-04,2243.595,2.0,0.0,2021-02-07,4487.19,5,1,+5000 spendings (10% off)
17,2713,سوبر ماركت,100125.0,حلوان,Cairo,,29.85856,31.31948,2020-03-15,8383.2,1.0,1.0,2020-03-15,8383.2,2,1,+5000 spendings (10% off)
18,2745,سوبر ماركت,100125.0,حلوان,Cairo,المعصرة,29.84112,31.33609,2020-03-17,1983.140909090909,11.0,7.0,2020-10-06,21814.55,2,3,+15000 spendings (18% off)
19,2761,سوبر ماركت,100125.0,حلوان,Cairo,المعصرة,,,2020-03-17,1778.9066666666663,3.0,2.0,2021-03-09,5336.719999999999,2,1,+5000 spendings (10% off)
20,2762,سوبر ماركت,100134.0,مدينه نصر,Cairo,مدينه نصر,30.0541,31.3944,2020-03-17,6315.826363636364,11.0,3.0,2020-09-01,69474.09,2,0,+10000 spendings (15% off)
21,2778,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.9061,31.2966,2020-03-18,2458.228695652174,23.0,8.0,2021-03-16,56539.26,2,0,+10000 spendings (15% off)
22,2814,سوبر ماركت,100173.0,ميت نما,Cairo,ميت نما,30.14527,31.23358,2020-03-19,5941.565,2.0,2.0,2020-03-19,11883.13,2,1,+5000 spendings (10% off)
23,2818,سوبر ماركت,100125.0,حلوان,Cairo,,29.85776,31.3178,2020-03-19,1597.14,1.0,1.0,2020-03-19,1597.14,2,1,+5000 spendings (10% off)
24,2819,سوبر ماركت,100107.0,عين شمس,Cairo,عين شمس,30.13951,31.32246,2020-03-19,1648.8864285714285,14.0,4.0,2021-01-26,23084.41,2,3,+15000 spendings (18% off)
25,2885,سوبر ماركت,100155.0,القناطر الخيرية,Cairo,التقسيم السياحي ,29.84953,31.32749,2020-03-22,4410.0,1.0,1.0,2020-03-22,4410.0,2,1,+5000 spendings (10% off)
26,2917,سوبر ماركت,100134.0,مدينه نصر,Cairo,مدينه نصر,30.04625,31.3488,2020-03-23,2656.4390909090907,11.0,2.0,2021-02-13,29220.83,2,3,+15000 spendings (18% off)
28,2997,سوبر ماركت,100151.0,عزبة النخل,Cairo,عزبة النخل,,,2020-03-28,2105.62,1.0,1.0,2020-03-28,2105.62,2,1,+5000 spendings (10% off)
29,3000,سوبر ماركت,100128.0,المعادي,Cairo,المعادي,29.7479,31.24276,2020-03-29,1386.7475,8.0,4.0,2021-03-13,11093.98,2,1,+5000 spendings (10% off)
30,3023,كشك,100128.0,المعادي,Cairo,المعادي,,,2020-03-29,1959.26,2.0,2.0,2020-03-31,3918.52,5,1,+5000 spendings (10% off)
31,3078,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,30.13055,31.3466,2020-04-04,3755.505,4.0,3.0,2020-09-29,15022.02,2,1,+5000 spendings (10% off)
32,3091,سوبر ماركت,100134.0,مدينه نصر,Cairo,مدينه نصر,30.05337,31.35468,2020-04-05,629.5933333333334,3.0,1.0,2021-01-30,1888.78,2,1,+5000 spendings (10% off)
